mes;Measured [dBm];Measurement;Distance [m]
64.21;-64.21;1;1
76.64;-76.64;1;2
84.76;-84.76;1;3
79.9;-79.9;1;4
79.94;-79.94;1;5
93.75;-93.75;1;6
89.9;-89.9;1;7
92.9;-92.9;1;8
89.39;-89.39;1;9
91.17;-91.17;1;10
63.8;-63.8;2;1
73.5;-73.5;2;2
84.4;-84.4;2;3
80.7;-80.7;2;4
85.4;-85.4;2;5
100.4;-100.4;2;6
100.6;-100.6;2;7
92.5;-92.5;2;8
89.8;-89.8;2;9
86.5;-86.5;2;10
61.72;-61.72;3;1
69.34;-69.34;3;2
77.8;-77.8;3;3
74.78;-74.78;3;4
78.53;-78.53;3;5
82.45;-82.45;3;6
85.46;-85.46;3;7
88.38;-88.38;3;8
84.6;-84.6;3;9
88.34;-88.34;3;10
