SPAN [MHz]	fc [MHz]	P [dBm]	RBW [kHz]	VBW [kHz]	SWT [ms]
10	1000	-32,50	200,00	500	2,5
9	1000	-32,57	200,00	500	2,5
8	999,99	-32,59	200,00	500	2,5
7	999,99	-32,60	200,00	500	2,5
6	999,99	-32,60	200,00	500	2,5
5	1000	-32,28	100,00	300	2,5
4	1000	-32,28	100,00	300	2,5
3	1000	-32,28	100,00	300	2,5
2	1000	-32,31	50,00	200	2,5
1	1000	-32,31	20,00	50	10
0,9	1000	-32,31	20,00	50	10
0,8	1000	-32,33	20,00	50	10
0,7	1000	-32,32	20,00	50	10
0,6	1000	-32,32	20,00	50	10
0,5	999,99	-32,31	10,00	30	20
0,4	999,99	-32,31	10,00	30	20
0,3	999,99	-32,26	6,25	20	10
0,2	999,99	-32,35	5,00	20	10
0,1	999,99	-32,37	2,00	5	25
